Second,Average_Decibels
0,-12.560600328060472
1,-12.560600328060472
2,-10.612333397786486
3,-9.247343499692542
4,-10.66857551001462
5,-12.461379166482784
6,-8.17137149976459
7,-14.661059710999915
8,-12.448964185753375
9,-19.512567033908596
10,-15.806742442440614
11,-15.938512136557932
12,-19.43692099624627
13,-15.705905032673625
14,-15.965997659629823
15,-16.407070221447064
16,-17.11965788113034
17,-16.292045535413273
18,-16.367708685938954
19,-16.156602836485764
20,-16.03354863993541
21,-14.73022093770018
22,-14.568519667801432
23,-19.475145126349005
24,-14.216785939608512
25,-19.117126699299458
26,-17.20341710674909
27,-15.025752233857336
28,-17.230424315707964
29,-17.426794979917265
30,-14.79425082751049
31,-15.762659889978162
32,-19.746073430554198
33,-15.112861266873969
34,-15.613565609461919
35,-18.793282506565337
36,-24.51484010801359
37,-15.809851918279229
38,-17.327055960398074
39,-20.35797283882907
40,-13.468369455877916
41,-16.626659032822186
42,-16.45774660101489
43,-15.442567909349542
44,-15.831430618819986
45,-15.68814272837281
46,-19.300817384403597
47,-17.41939119041051
48,-16.7503139943557
49,-17.94156253675095
50,-13.863041967181175
51,-18.429944031145457
52,-15.90743532427484
53,-14.691323746186697
54,-18.24744204761974
55,-16.69827344580658
56,-14.412238110572249
57,-16.28143995307975
58,-17.11664748471162
59,-14.860682349261854
60,-15.375108363466417
61,-18.690358539849743
62,-17.42624553970377
63,-15.101575215650243
64,-19.07313605796338
65,-17.620315184552044
66,-15.850590336994673
67,-17.930494746768208
68,-17.82455862801086
69,-16.27248447572768
70,-16.61476945064752
71,-19.90659896321648
72,-15.846260718484729
73,-16.657651757976904
74,-19.537608596125686
75,-16.559706417487206
76,-14.79629440167192
77,-19.139312749933705
78,-17.300003888090412
79,-14.4858871547723
80,-19.258022045504024
81,-16.895517845162516
82,-15.128976422399067
83,-15.359378121667122
84,-19.51598394578598
85,-14.64475274634364
86,-16.572598759051207
87,-19.272785857121864
88,-15.933443311932702
89,-14.928824841288895
