Second,Average_Decibels
0,-19.781306146990143
1,-19.781306146990143
2,-18.68741638679637
3,-18.898952556611185
4,-19.27157214521158
5,-20.324450009872216
6,-17.963469497934387
7,-20.54249318883343
8,-20.216061669018035
9,-26.445126836405805
10,-20.78278747973277
11,-23.80066331847307
12,-22.48306642853534
13,-24.284297806995188
14,-23.364718116113334
15,-22.969552774428493
16,-23.90378133546163
17,-24.245723536448793
18,-23.295033148801405
19,-27.531866734398317
20,-25.065343813912403
21,-24.15771525084528
22,-18.81482764663365
23,-22.639903553786695
24,-26.5533821181941
25,-26.433707672430398
26,-25.10571854026653
27,-26.05766206673001
28,-25.828564028148186
29,-24.688015530565558
30,-25.961732633165116
31,-25.71769581656145
32,-26.330080749074135
33,-28.908271859514564
34,-25.949752630522738
35,-26.728044228252365
36,-24.802017684632496
37,-21.53833142934989
38,-30.639144265160144
39,-25.515777613102102
40,-27.378737265398264
41,-27.70326803767113
42,-26.12517579115355
43,-25.913938632330158
44,-26.033452148530774
45,-23.180445482665945
46,-25.250304975857116
47,-24.754308548216226
48,-25.661532339143736
49,-21.332312398087343
50,-25.702363891895466
51,-25.60530740170518
52,-25.74045285725052
53,-27.201893081723284
54,-24.210138539941532
55,-30.737974438036627
56,-27.114608271590416
57,-25.845790644573974
58,-28.32943782127325
59,-27.369745505646122
60,-26.37605786844397
61,-27.6369867055877
62,-24.583412981123622
63,-26.54009521182919
64,-24.269177441459355
65,-22.436091977070447
66,-26.826665068797297
67,-24.905734841000555
68,-25.847294040370997
69,-26.408843675507423
70,-22.878095068017004
71,-27.62721125160492
72,-25.738981441604665
73,-24.379593867337107
74,-28.24590201266164
75,-22.543208719386943
76,-25.312784224015083
77,-23.056740634247713
78,-25.007136702906255
79,-28.141909317140833
80,-27.636947951385483
81,-25.99374530466843
82,-27.094312474203434
83,-25.552854600750173
84,-26.69048453422173
85,-28.145208017496117
86,-25.398045096228216
87,-25.28868947405763
88,-27.939738625574208
89,-27.39881907520662
