Second,Average_Decibels
0,-17.619350318701578
1,-17.619350318701578
2,-15.513618667096566
3,-17.26848529280414
4,-16.830237982177582
5,-17.735838481973783
6,-15.921592205073594
7,-18.487383586207294
8,-17.06559702983255
9,-20.143868489115878
10,-19.004533254450532
11,-17.902502646451875
12,-19.318542373616896
13,-19.19441237999095
14,-20.142284188199657
15,-18.566235061899135
16,-19.573375864383816
17,-20.323113154583446
18,-19.1401997098848
19,-20.976108797192428
20,-17.98045434742758
21,-17.2182658447154
22,-18.20452869834066
23,-22.56124121557883
24,-21.97393455752478
25,-21.86153033161647
26,-20.244938032450086
27,-21.41227690938323
28,-23.017359900304704
29,-20.55843815695393
30,-20.308134832550085
31,-23.40735736527633
32,-21.038055120026677
33,-23.4034481976502
34,-19.96063030573995
35,-19.86987467124013
36,-20.999536108707172
37,-18.509684490424938
38,-20.45788971169704
39,-20.532151927703005
40,-18.226607942852805
41,-22.871369859206496
42,-19.240798910216974
43,-19.001322527525417
44,-20.923248265548473
45,-19.41092472618887
46,-20.710578682376767
47,-20.680675850888814
48,-19.25897655914143
49,-21.564801681749515
50,-22.617053472685157
51,-22.55228010263277
52,-21.74580182859201
53,-19.052849105811262
54,-22.8957780873455
55,-21.952790285873153
56,-20.190283644545584
57,-22.319263888179748
58,-20.260158654465737
59,-20.23671187456945
60,-20.545392777543306
61,-20.241872553204708
62,-19.496115367908413
63,-20.39841028008959
64,-18.995582330048816
65,-20.005987137129274
66,-19.70370677119056
67,-20.447442672069158
68,-20.64121264337051
69,-20.724737030651706
70,-19.41789179721249
71,-21.14359593448819
72,-21.03721005334222
73,-21.79996074323653
74,-20.930375464272316
75,-19.345358435627436
76,-21.87124365739641
77,-18.544361261806554
78,-20.19347201102431
79,-22.19659614159545
80,-22.868077892134266
81,-19.96356744067506
82,-21.071565289130202
83,-22.066572707808263
84,-20.890192573897796
85,-22.244340961184676
86,-22.74898427490009
87,-19.43814028561214
88,-21.888548748812035
89,-24.79004641931257
