Second,Average_Decibels
0,-15.865355184572383
1,-15.865355184572383
2,-14.302989039278371
3,-12.506515727357524
4,-14.42028118785968
5,-16.068379948382095
6,-13.085163380199484
7,-14.034733758929585
8,-13.616600544882353
9,-12.125731126165874
10,-13.469228067962757
11,-13.369742203648823
12,-18.37411017757469
13,-24.583447335210906
14,-22.36900748810061
15,-20.946952514732246
16,-23.06152623013904
17,-22.51489208074012
18,-18.8568258279576
19,-24.269631034139895
20,-22.2938220739133
21,-22.694138332094358
22,-19.472783854829714
23,-20.95772977604933
24,-22.332866052786027
25,-16.053297072495525
26,-19.52871139549645
27,-20.776995998958313
28,-25.011861042926736
29,-21.979482323509735
30,-23.911623773932032
31,-19.640695348062625
32,-18.52256455500371
33,-16.876366865625005
34,-21.716850818272523
35,-22.62387037007926
36,-22.525318719105204
37,-24.981723791871854
38,-26.126294184097347
39,-20.12886412052027
40,-20.91691593661475
41,-25.989879648295492
42,-21.33980306094936
43,-27.737019378153143
44,-25.19264825998033
45,-24.290729961976396
46,-18.523524639204467
47,-23.06780110775807
48,-20.66962672755682
49,-19.1519083675615
50,-22.610180563015955
51,-19.766412304722767
52,-21.769648919696955
53,-21.514920159498978
54,-20.01668480271964
55,-22.926655863240025
56,-19.065929022078176
57,-18.943930751811685
58,-20.93115523510653
59,-19.92381735212047
60,-20.886835953911522
61,-19.693337908447727
62,-19.376763458813343
63,-21.24180556070575
64,-19.347168873414056
65,-20.539453295499065
66,-21.006357658315064
67,-22.48483563099267
68,-17.605851855583204
69,-19.258418194020578
70,-20.371541984294335
71,-20.28824723993432
72,-20.490848935632474
73,-18.91735716034448
74,-20.739160871655912
75,-19.764723358610397
76,-21.564781309525898
77,-17.770750446835876
78,-21.370952577794526
79,-17.44016082111032
80,-14.928921687994693
81,-17.026382417499416
82,-16.423569853326036
83,-16.50222634921206
84,-16.8818559867235
85,-16.90729691058906
86,-16.494602765695298
87,-15.826008068180158
88,-16.050939929489196
89,-16.835633616572796
