Second,Average_Decibels
0,-27.94719012045371
1,-27.94719012045371
2,-28.229407158051934
3,-42.00174184620882
4,-31.800678805294986
5,-21.06175652818459
6,-26.038613148339135
7,-28.994469098140858
8,-35.557662273954854
9,-29.396849027687885
10,-39.05377114900374
11,-30.777827754440217
12,-46.473799967893335
13,-44.73072066985775
14,-42.65628385503274
15,-32.31333585944602
16,-37.50445219273948
17,-36.227529740287046
18,-35.971010656298546
19,-36.71960792516845
20,-33.69397625882388
21,-35.75022337457637
22,-33.5589357370533
23,-34.4422647598554
24,-32.375015441522876
25,-34.39531588177352
26,-28.78587646105727
27,-31.270358730577566
28,-33.908806885003266
29,-30.165571291400664
30,-31.57314931431531
31,-29.735116581423803
32,-25.222637284460124
33,-25.31722430116927
34,-28.15122266749711
35,-25.36015631186276
36,-24.96656018705716
37,-24.521930556892286
38,-25.92978554403013
39,-27.881794465857663
40,-25.599591052421456
41,-27.69822262219465
42,-28.003517443704173
43,-28.010324367684028
44,-28.513616063928726
45,-30.475472851714397
46,-29.582312038623904
47,-28.01471021176573
48,-28.35054692778594
49,-27.941060757701493
50,-29.81328553696739
51,-28.572636947668766
52,-27.62657851209561
53,-29.105939746231
54,-27.43229213251491
55,-26.778914607653252
56,-29.108023019896244
57,-30.79494307357094
58,-28.40245574196957
59,-30.44478285347181
60,-31.294468932742877
61,-29.692134565923446
62,-30.355077034690666
63,-29.076067117258326
64,-35.28356262185249
65,-26.844319198151435
66,-30.29570872350213
67,-28.605815853686963
68,-29.509503336437977
69,-31.29706332730297
70,-28.85890094222902
71,-32.18984143518982
72,-31.2523531502988
73,-29.981476951600808
74,-29.96446381081024
75,-30.637143465067595
76,-27.05376755727078
77,-26.62234756265411
78,-30.7302399973983
79,-22.895984893829425
80,-28.854586130409313
81,-33.46910693646418
82,-24.432127023667114
83,-26.92729148562866
84,-26.26289257542651
85,-25.051492288826072
86,-24.574254642907732
87,-31.352220247351088
88,-25.698556975595533
89,-26.086850710362828
