Second,Average_Decibels
0,-16.334544005802307
1,-16.334544005802307
2,-15.369542486529435
3,-14.25546158705338
4,-18.12541308547694
5,-17.405123357189098
6,-16.34611420662885
7,-16.031564031639608
8,-15.726551378258584
9,-15.68046159726753
10,-15.580451559298849
11,-16.69823914731159
12,-22.189331614596632
13,-28.984718919094323
14,-27.833287867860115
15,-27.152891417043975
16,-29.30738904194893
17,-23.495382350989857
18,-25.319977777956183
19,-30.684610358877066
20,-28.56780114158009
21,-26.335069807389623
22,-24.403590639288343
23,-23.931374741896196
24,-26.918617499164288
25,-19.47971593407468
26,-23.47620775821283
27,-23.59618163638109
28,-25.781028176944268
29,-22.132668850672626
30,-26.90892812851903
31,-22.544830899786277
32,-20.80218954362014
33,-21.02807526095647
34,-25.869901002174604
35,-26.907866861162233
36,-21.010771690052845
37,-24.92935194047094
38,-20.217590549527756
39,-21.55913427429302
40,-22.239361155569785
41,-25.576167155229466
42,-20.080218822118745
43,-28.040731714720966
44,-25.26533875160348
45,-22.321836462080498
46,-22.429316030635125
47,-23.677511421248045
48,-23.77452538863913
49,-21.977332287639836
50,-22.78572367928391
51,-25.834058671636942
52,-25.861884852839097
53,-23.22581233409515
54,-25.607552851269553
55,-28.412485189875625
56,-24.82429318834076
57,-26.14478265457048
58,-24.69223810926192
59,-27.9527281332897
60,-27.580214567388015
61,-27.98512193325779
62,-23.748475641307472
63,-26.97692421541016
64,-27.5146433047439
65,-24.191773132633326
66,-28.011685078600518
67,-25.686934608187734
68,-22.80097914074324
69,-27.470789853600557
70,-28.892672844964867
71,-26.415781202802844
72,-23.835847061259564
73,-26.32198764459894
74,-24.640206314933316
75,-23.941779510555076
76,-26.702389655396892
77,-18.97708397393782
78,-23.37791123851461
79,-18.119697011256168
80,-22.14163945403589
81,-23.009544927607816
82,-22.097258920214255
83,-22.501759998469634
84,-20.927766832933898
85,-23.13063307216403
86,-26.13260144296739
87,-24.41446623959266
88,-20.268886591807746
89,-22.306340543792956
