Second,Average_Decibels
0,-18.132126500531182
1,-18.132126500531182
2,-24.408255011819804
3,-18.39378914716512
4,-20.11710190716019
5,-17.778167849595743
6,-18.034282261614468
7,-23.311835328379342
8,-19.055163310896155
9,-22.1351802597533
10,-18.67796060283938
11,-19.698115944841447
12,-21.229182421772556
13,-19.61873401158869
14,-18.39930594450045
15,-18.347688843197396
16,-21.599098682631748
17,-17.763604525169296
18,-17.8824959571932
19,-21.52088365807448
20,-22.25864558128291
21,-22.559796878192163
22,-22.441717336982972
23,-21.870001107270692
24,-20.660217270429808
25,-21.157116663524853
26,-24.60449252398501
27,-22.72936302144116
28,-23.200761270886577
29,-21.298835925007545
30,-22.939770238086364
31,-23.09772235859333
32,-21.847115907116994
33,-22.199794594329717
34,-22.147388190657832
35,-23.297376109084833
36,-22.49592388645288
37,-21.45981076302603
38,-21.010838600475765
39,-24.7768465972953
40,-26.223427833187618
41,-27.06124516421836
42,-27.5909163397537
43,-23.17551884620796
44,-25.87366731532254
45,-24.884456501470144
46,-29.268283262635414
47,-26.702766290262336
48,-22.021787098695643
49,-24.250098393738575
50,-24.07062040741523
51,-20.24778868065535
52,-20.722737242631244
53,-22.769280387883413
54,-23.055782422531358
55,-22.561870577775714
56,-27.067412049987485
57,-22.35188031445498
58,-21.556397177988174
59,-21.9509087352732
60,-31.41029959976358
61,-32.89827896240109
62,-22.796870460336184
63,-23.500944717751462
64,-21.909391414970692
65,-21.74789320709683
66,-23.597100145705973
67,-23.01649998169647
68,-23.721137776895723
69,-21.48082693908872
70,-22.30627816534322
71,-21.583243110640844
72,-22.851273792132545
73,-25.043736025660927
74,-22.23478422054491
75,-23.105459827480228
76,-19.90138424950697
77,-22.213901431600796
78,-25.030402390745113
79,-30.98317185783805
80,-30.12100912287764
81,-20.4692651647071
82,-22.676596637239385
83,-24.116864426063962
84,-22.677765116326693
85,-20.114554650622242
86,-21.54308295906072
87,-23.904241863736768
88,-22.90046996984507
89,-20.65795591821019
