Second,Average_Decibels
0,-31.22887098871183
1,-31.22887098871183
2,-36.19569587025702
3,-30.47509288074176
4,-35.78082383177462
5,-29.798384379896767
6,-30.748753468870248
7,-28.026131012281272
8,-32.44154307180188
9,-37.21179499176754
10,-25.318705241425473
11,-24.8024951112314
12,-23.350250898927495
13,-25.936084924706247
14,-22.260664262237196
15,-22.03774125900596
16,-23.856794042934155
17,-24.091973746061587
18,-29.156109655938174
19,-27.630470057354586
20,-27.035603647436837
21,-29.40062765492252
22,-29.52777498488647
23,-28.764605772856644
24,-28.814457055853207
25,-28.13179840796121
26,-33.98892364453056
27,-28.569167888101678
28,-27.839393228836297
29,-27.148744539165286
30,-31.64835404336748
31,-36.7877804821104
32,-30.35963623992002
33,-26.415623843470538
34,-30.29068756228856
35,-30.378100542414614
36,-28.937584732201355
37,-26.130094662646304
38,-28.300500581365743
39,-26.494179793359915
40,-25.953781488200505
41,-27.089614430623797
42,-28.25018113092257
43,-26.77232315779888
44,-28.143876072316285
45,-29.493792889448244
46,-26.860644370348492
47,-26.054792102386166
48,-27.976518224607698
49,-30.616992195155444
50,-32.34275666588517
51,-30.81173016614743
52,-23.689412985517222
53,-28.60974100981471
54,-32.598494310493635
55,-28.85603878606713
56,-29.07239850801926
57,-30.401815581340486
58,-30.864551244918694
59,-33.47582276055589
60,-29.18190600974794
61,-32.95868579507042
62,-26.498258017567558
63,-24.09771058285472
64,-28.79506542086738
65,-24.359292772745917
66,-23.848158807933622
67,-27.02439609473109
68,-26.04604214996494
69,-27.80489901879059
70,-23.560736133440667
71,-25.66069818504793
72,-26.482713738130638
73,-26.085851771474296
74,-27.664871721937033
75,-23.33504862471242
76,-26.944525752841212
77,-25.08749386798263
78,-27.202166999365016
79,-29.52463748527222
80,-24.89489347689817
81,-27.01474198431086
82,-25.03144995079156
83,-33.58996325182477
84,-30.65267447238334
85,-26.16782815204206
86,-27.162654865972325
87,-29.00773726796972
88,-29.632528150202802
89,-26.842567527922665
