Second,Average_Decibels
0,-21.029329142965782
1,-21.029329142965782
2,-20.800555346468624
3,-21.42284176298962
4,-18.81068280963276
5,-19.88167002244738
6,-19.121235250810415
7,-18.95054533836299
8,-19.897927243923924
9,-20.042669302964292
10,-19.981871510912423
11,-19.988916848764593
12,-20.120338369221685
13,-20.825388319101442
14,-18.73560422218449
15,-21.626774918086863
16,-18.95895584040731
17,-18.86274936325784
18,-22.405636988222437
19,-23.322805657894
20,-19.264360908666575
21,-20.725091236360946
22,-23.7608682645506
23,-21.96741836389094
24,-18.998684477705627
25,-21.970576283433886
26,-20.588606740754074
27,-19.206941222419687
28,-19.682147576527505
29,-23.658494837298512
30,-23.756188471822583
31,-22.853162114895177
32,-19.393662076955298
33,-23.578576604355156
34,-20.990787716736275
35,-20.235816244791465
36,-20.968136315544417
37,-19.15050945554172
38,-21.139656520470325
39,-24.406776034253657
40,-22.65909009565731
41,-21.194699137255874
42,-24.578518750481404
43,-24.83542659726207
44,-21.5062810588927
45,-22.184993254676773
46,-22.802341864241118
47,-21.824243578985524
48,-19.975750232158457
49,-18.96475772663513
50,-20.24423337311362
51,-19.723619428464385
52,-20.408178777956962
53,-22.527108800662628
54,-21.77564455404939
55,-21.288818203501197
56,-20.630969383689298
57,-25.71697334646673
58,-21.830590073012576
59,-23.13014562608957
60,-21.659208181795627
61,-20.47017971567495
62,-24.890291604766798
63,-21.392363924198182
64,-23.172227079924504
65,-22.714352084987095
66,-21.129570098483466
67,-23.365902899694643
68,-22.93321842393324
69,-25.700752731147013
70,-22.402225848335735
71,-23.460250262435313
72,-24.18514236448513
73,-22.45430280180268
74,-23.888772049005247
75,-21.232640503015443
76,-23.426906538953837
77,-22.83438057417466
78,-22.756659244846205
79,-31.394776278827045
80,-21.59182670876439
81,-24.682687319542328
82,-20.295197382804048
83,-21.00343514771425
84,-21.62156333617552
85,-20.421842465101985
86,-20.662222979110023
87,-20.22918716858852
88,-21.834107735367578
89,-20.11186249827817
